cv,model,sub
24.60333333333333,td,82
27.840000000000003,td,85
9.903333333333332,td,89
15.473333333333333,td,92
8.616666666666667,td,94
13.723333333333333,td,96
14.63,td,97
61.74666666666667,td,99
5.029999999999999,td,100
0.0,td,101
8.813333333333333,td,104
20.453333333333333,td,105
0.0,td,106
32.766666666666666,td,107
24.586666666666666,td,108
20.946666666666665,td,110
17.623333333333335,td,112
8.573333333333334,td,113
20.34,td,115
13.636666666666667,td,116
21.276666666666667,td,117
17.55666666666667,td,119
25.943333333333335,td,120
17.346666666666668,td,121
19.436666666666667,td,123
17.713333333333335,td,124
18.73333333333333,td,126
9.836666666666666,td,127
10.183333333333334,td,128
18.776666666666664,td,132
14.220000000000002,td,134
37.25666666666667,td,135
9.25,td,136
41.07666666666667,td,137
9.7,td,138
18.246666666666666,td,141
5.996666666666667,td,142
91.15666666666667,td,143
7.746666666666667,td,146
23.53666666666667,td,148
7.779999999999999,td,151
15.089999999999998,td,154
19.436666666666667,td,158
12.440000000000001,td,159
15.09,td,161
9.403333333333332,td,162
23.193333333333335,td,163
23.626666666666665,td,164
6.5200000000000005,td,165
10.31,td,167
35.44,td,169
18.94,td,170
5.43,td,173
95.97666666666666,td,175
8.343333333333334,td,177
11.200000000000001,td,182
9.523333333333335,td,183
4.166666666666667,td,184
13.836666666666668,td,188
9.07,td,190
17.413333333333334,td,192
18.880000000000003,td,195
18.833333333333332,td,196
36.35666666666666,mvt,0
12.453333333333333,mvt,1
0.0,mvt,2
30.843333333333334,mvt,3
14.309999999999999,mvt,5
2.6333333333333333,mvt,8
10.91,mvt,9
38.17,mvt,10
3.28,mvt,13
58.92333333333333,mvt,15
13.196666666666667,mvt,18
36.28333333333334,mvt,19
61.84666666666667,mvt,21
3.0733333333333333,mvt,22
69.1,mvt,23
21.406666666666666,mvt,25
10.463333333333333,mvt,28
5.8100000000000005,mvt,29
19.016666666666666,mvt,30
19.666666666666668,mvt,31
4.11,mvt,32
6.993333333333334,mvt,33
10.273333333333333,mvt,34
172.69666666666666,mvt,37
88.62,mvt,39
19.273333333333333,mvt,40
41.08,mvt,41
9.756666666666666,mvt,44
8.283333333333333,mvt,45
122.51666666666665,mvt,46
14.986666666666668,mvt,47
48.910000000000004,mvt,48
71.88666666666667,mvt,50
49.20333333333333,mvt,53
160.67666666666668,mvt,54
15.790000000000001,mvt,55
7.456666666666666,mvt,56
7.290000000000001,mvt,57
108.18333333333332,mvt,58
4.666666666666667,mvt,59
92.35666666666667,mvt,64
168.18666666666667,mvt,65
