,sub_num,true_planet,fold_num,dataset,galaxy,prt
0,0,45,7.0,test,1,2
0,0,45,1.0,train,1,2
0,0,45,2.0,train,1,2
0,0,45,3.0,train,1,2
0,0,45,4.0,train,1,2
0,0,45,5.0,train,1,2
0,0,45,6.0,train,1,2
0,0,45,8.0,train,1,2
0,0,45,9.0,train,1,2
0,0,45,10.0,train,1,2
0,0,64,7.0,test,2,2
0,0,64,1.0,train,2,2
0,0,64,2.0,train,2,2
0,0,64,3.0,train,2,2
0,0,64,4.0,train,2,2
0,0,64,5.0,train,2,2
0,0,64,6.0,train,2,2
0,0,64,8.0,train,2,2
0,0,64,9.0,train,2,2
0,0,64,10.0,train,2,2
0,0,91,7.0,test,1,1
0,0,91,1.0,train,1,1
0,0,91,2.0,train,1,1
0,0,91,3.0,train,1,1
0,0,91,4.0,train,1,1
0,0,91,5.0,train,1,1
0,0,91,6.0,train,1,1
0,0,91,8.0,train,1,1
0,0,91,9.0,train,1,1
0,0,91,10.0,train,1,1
0,0,24,7.0,test,2,2
0,0,24,1.0,train,2,2
0,0,24,2.0,train,2,2
0,0,24,3.0,train,2,2
0,0,24,4.0,train,2,2
0,0,24,5.0,train,2,2
0,0,24,6.0,train,2,2
0,0,24,8.0,train,2,2
0,0,24,9.0,train,2,2
0,0,24,10.0,train,2,2
0,0,3,7.0,test,1,2
0,0,3,1.0,train,1,2
0,0,3,2.0,train,1,2
0,0,3,3.0,train,1,2
0,0,3,4.0,train,1,2
0,0,3,5.0,train,1,2
0,0,3,6.0,train,1,2
0,0,3,8.0,train,1,2
0,0,3,9.0,train,1,2
0,0,3,10.0,train,1,2
0,0,5,8.0,test,2,6
0,0,5,1.0,train,2,6
0,0,5,2.0,train,2,6
0,0,5,3.0,train,2,6
0,0,5,4.0,train,2,6
0,0,5,5.0,train,2,6
0,0,5,6.0,train,2,6
0,0,5,7.0,train,2,6
0,0,5,9.0,train,2,6
0,0,5,10.0,train,2,6
0,0,51,8.0,test,2,4
0,0,51,1.0,train,2,4
0,0,51,2.0,train,2,4
0,0,51,3.0,train,2,4
0,0,51,4.0,train,2,4
0,0,51,5.0,train,2,4
0,0,51,6.0,train,2,4
0,0,51,7.0,train,2,4
0,0,51,9.0,train,2,4
0,0,51,10.0,train,2,4
0,0,70,8.0,test,0,1
0,0,70,1.0,train,0,1
0,0,70,2.0,train,0,1
0,0,70,3.0,train,0,1
0,0,70,4.0,train,0,1
0,0,70,5.0,train,0,1
0,0,70,6.0,train,0,1
0,0,70,7.0,train,0,1
0,0,70,9.0,train,0,1
0,0,70,10.0,train,0,1
0,0,40,8.0,test,1,3
0,0,40,1.0,train,1,3
0,0,40,2.0,train,1,3
0,0,40,3.0,train,1,3
0,0,40,4.0,train,1,3
0,0,40,5.0,train,1,3
0,0,40,6.0,train,1,3
0,0,40,7.0,train,1,3
0,0,40,9.0,train,1,3
0,0,40,10.0,train,1,3
0,0,88,8.0,test,1,1
0,0,88,1.0,train,1,1
0,0,88,2.0,train,1,1
0,0,88,3.0,train,1,1
0,0,88,4.0,train,1,1
0,0,88,5.0,train,1,1
0,0,88,6.0,train,1,1
0,0,88,7.0,train,1,1
0,0,88,9.0,train,1,1
0,0,88,10.0,train,1,1
0,0,8,8.0,test,0,3
0,0,8,1.0,train,0,3
0,0,8,2.0,train,0,3
0,0,8,3.0,train,0,3
0,0,8,4.0,train,0,3
0,0,8,5.0,train,0,3
