,sub_num,true_planet,galaxy,prt
232,5,50,2,1
233,5,51,2,1
234,5,52,2,1
235,5,53,2,1
236,5,54,1,1
237,5,55,1,2
238,5,56,2,1
239,5,57,2,1
240,5,60,0,1
241,5,61,0,1
242,5,62,0,1
243,5,63,2,1
244,5,64,2,2
245,5,65,2,3
246,5,66,2,1
247,5,67,2,1
248,5,68,2,1
249,5,69,0,1
250,5,70,0,1
251,5,71,2,1
252,5,72,2,2
253,5,73,2,1
254,5,74,2,1
255,5,75,2,1
256,5,76,2,1
257,5,77,2,1
258,5,78,2,1
259,5,80,1,6
260,5,81,1,1
261,5,82,1,1
262,5,83,1,2
263,5,84,1,3
264,5,85,1,3
265,5,86,1,1
266,5,87,1,1
267,5,88,1,4
268,5,89,1,1
269,5,90,1,2
270,5,91,1,2
271,5,92,1,2
272,5,93,1,3
273,5,94,1,1
274,5,95,2,1
275,8,0,0,2
276,8,1,0,2
277,8,2,1,3
278,8,3,1,2
279,8,4,1,2
280,8,5,2,5
281,8,6,2,5
282,8,7,2,4
283,8,8,0,2
284,8,9,0,2
285,8,10,0,2
286,8,11,0,2
287,8,12,0,2
288,8,13,2,7
289,8,14,2,1
290,8,20,0,2
291,8,21,0,2
292,8,22,0,2
293,8,23,2,4
294,8,24,2,5
295,8,25,2,4
296,8,26,2,5
297,8,27,2,5
298,8,28,1,2
299,8,29,2,4
300,8,30,2,6
301,8,31,0,2
302,8,32,0,2
303,8,33,0,1
304,8,40,1,2
305,8,41,2,4
306,8,42,1,3
307,8,43,1,2
308,8,44,1,2
309,8,45,1,2
310,8,46,2,4
311,8,47,2,4
312,8,48,1,2
313,8,49,1,2
314,8,50,2,5
315,8,51,2,5
316,8,52,2,5
317,8,53,2,2
318,8,60,0,2
319,8,61,0,2
320,8,62,0,2
321,8,63,2,4
322,8,64,2,4
323,8,65,2,4
324,8,66,2,4
325,8,67,2,5
326,8,68,2,4
327,8,69,0,2
328,8,70,0,2
329,8,71,2,5
330,8,72,2,5
331,8,73,2,1
332,8,80,1,2
333,8,81,1,2
334,8,82,1,2
335,8,83,1,2
336,8,84,1,3
337,8,85,1,3
338,8,86,1,2
339,8,87,1,2
340,8,88,1,2
341,8,89,1,3
342,8,90,1,2
343,8,91,1,3
344,8,92,1,2
345,8,93,1,2
346,8,94,1,2
347,8,95,2,1
348,9,0,0,3
349,9,1,0,2
350,9,2,1,2
351,9,3,1,2
352,9,4,1,2
353,9,5,2,6
354,9,6,2,5
355,9,7,2,6
356,9,8,0,2
357,9,9,0,3
358,9,10,0,2
359,9,11,0,2
360,9,12,0,2
361,9,13,2,5
362,9,20,0,2
363,9,21,0,2
364,9,22,0,2
365,9,23,2,7
366,9,24,2,6
367,9,25,2,7
368,9,26,2,7
369,9,27,2,6
370,9,28,1,3
371,9,29,2,5
372,9,30,2,8
373,9,31,0,1
374,9,40,1,3
375,9,41,2,8
376,9,42,1,3
377,9,43,1,3
378,9,44,1,3
379,9,45,1,3
380,9,46,2,8
381,9,47,2,7
382,9,48,1,3
383,9,49,1,3
384,9,50,2,9
385,9,51,2,1
386,9,60,0,2
387,9,61,0,2
388,9,62,0,2
389,9,63,2,8
390,9,64,2,8
391,9,65,2,9
392,9,66,2,7
393,9,67,2,7
394,9,68,2,8
395,9,69,0,2
396,9,70,0,1
397,9,80,1,4
398,9,81,1,4
399,9,82,1,3
400,9,83,1,3
401,9,84,1,3
402,9,85,1,4
403,9,86,1,4
404,9,87,1,3
405,9,88,1,3
406,9,89,1,3
407,9,90,1,3
408,9,91,1,3
409,9,92,1,3
410,9,93,1,1
411,10,0,0,3
412,10,1,0,2
413,10,2,1,3
414,10,3,1,3
415,10,4,1,3
416,10,5,2,8
417,10,6,2,10
418,10,7,2,10
419,10,8,0,3
420,10,9,0,2
421,10,10,0,2
422,10,11,0,2
423,10,12,0,1
424,10,20,0,3
425,10,21,0,3
426,10,22,0,3
427,10,23,2,11
428,10,24,2,11
429,10,25,2,13
430,10,26,2,12
431,10,27,2,12
432,10,28,1,1
433,10,40,1,4
434,10,41,2,8
435,10,42,1,4
436,10,43,1,4
437,10,44,1,4
438,10,45,1,4
439,10,46,2,9
440,10,47,2,9
441,10,48,1,4
442,10,49,1,4
443,10,50,2,3
444,10,60,0,3
445,10,61,0,2
446,10,62,0,2
447,10,63,2,8
448,10,64,2,8
449,10,65,2,10
450,10,66,2,8
451,10,67,2,8
452,10,68,2,8
453,10,69,0,2
454,10,70,0,1
455,10,80,1,3
456,10,81,1,4
457,10,82,1,3
458,10,83,1,3
459,10,84,1,4
460,10,85,1,3
461,10,86,1,3
462,10,87,1,4
463,10,88,1,3
464,10,89,1,3
465,10,90,1,3
466,10,91,1,3
467,10,92,1,4
468,10,93,1,1
469,13,0,0,3
470,13,1,0,2
471,13,2,1,3
472,13,3,1,3
473,13,4,1,3
474,13,5,2,5
475,13,6,2,6
476,13,7,2,6
477,13,8,0,2
478,13,9,0,2
479,13,10,0,2
480,13,11,0,2
481,13,12,0,2
482,13,13,2,3
483,13,20,0,2
484,13,21,0,2
485,13,22,0,2
486,13,23,2,7
487,13,24,2,6
488,13,25,2,7
489,13,26,2,7
490,13,27,2,6
491,13,28,1,3
492,13,29,2,6
493,13,30,2,6
494,13,31,0,1
495,13,40,1,3
496,13,41,2,6
497,13,42,1,3
498,13,43,1,3
499,13,44,1,3
500,13,45,1,3
501,13,46,2,4
502,13,47,2,5
503,13,48,1,3
504,13,49,1,3
505,13,50,2,5
506,13,51,2,4
507,13,52,2,1
508,13,60,0,2
509,13,61,0,2
510,13,62,0,2
511,13,63,2,5
512,13,64,2,4
513,13,65,2,4
514,13,66,2,5
515,13,67,2,4
516,13,68,2,4
517,13,69,0,2
518,13,70,0,2
519,13,71,2,5
520,13,72,2,6
521,13,80,1,2
522,13,81,1,2
523,13,82,1,2
524,13,83,1,3
525,13,84,1,3
526,13,85,1,3
527,13,86,1,3
528,13,87,1,3
529,13,88,1,3
530,13,89,1,2
531,13,90,1,3
532,13,91,1,2
533,13,92,1,2
534,13,93,1,2
535,13,94,1,3
536,13,95,2,1
537,15,0,0,6
538,15,1,0,5
539,15,2,1,4
540,15,3,1,4
541,15,4,1,10
542,15,5,2,9
543,15,6,2,9
544,15,7,2,12
545,15,8,0,2
546,15,9,0,1
547,15,20,0,3
548,15,21,0,2
549,15,22,0,3
550,15,23,2,5
551,15,24,2,8
552,15,25,2,12
553,15,26,2,6
554,15,27,2,7
555,15,28,1,8
556,15,29,2,2
557,15,40,1,8
558,15,41,2,7
559,15,42,1,6
560,15,43,1,12
561,15,44,1,6
562,15,45,1,6
563,15,46,2,6
564,15,47,2,5
565,15,48,1,1
566,15,60,0,4
567,15,61,0,4
568,15,62,0,3
569,15,63,2,17
570,15,64,2,6
571,15,65,2,6
572,15,66,2,6
573,15,67,2,6
574,15,68,2,6
575,15,80,1,7
576,15,81,1,6
577,15,82,1,4
578,15,83,1,4
579,15,84,1,3
580,15,85,1,3
581,15,86,1,2
582,15,87,1,5
583,15,88,1,3
584,15,89,1,3
585,15,90,1,4
586,15,91,1,3
587,15,92,1,1
588,18,0,0,4
589,18,1,0,2
590,18,2,1,5
591,18,3,1,4
592,18,4,1,3
593,18,5,2,9
594,18,6,2,8
595,18,7,2,9
596,18,8,0,2
597,18,9,0,2
598,18,10,0,2
599,18,11,0,2
600,18,20,0,3
601,18,21,0,2
602,18,22,0,2
603,18,23,2,8
604,18,24,2,8
605,18,25,2,7
606,18,26,2,8
607,18,27,2,5
608,18,28,1,3
609,18,29,2,6
610,18,30,2,4
611,18,40,1,3
612,18,41,2,6
613,18,42,1,2
614,18,43,1,3
615,18,44,1,3
616,18,45,1,3
617,18,46,2,7
618,18,47,2,8
619,18,48,1,3
620,18,49,1,3
621,18,50,2,6
622,18,51,2,5
623,18,60,0,2
624,18,61,0,2
625,18,62,0,2
626,18,63,2,5
627,18,64,2,7
628,18,65,2,8
629,18,66,2,7
630,18,67,2,9
631,18,68,2,8
632,18,69,0,2
633,18,70,0,2
634,18,71,2,1
635,18,80,1,3
636,18,81,1,3
637,18,82,1,3
638,18,83,1,3
639,18,84,1,3
640,18,85,1,3
641,18,86,1,3
642,18,87,1,2
643,18,88,1,3
644,18,89,1,3
645,18,90,1,3
646,18,91,1,3
647,18,92,1,3
648,18,93,1,5
649,19,0,0,3
650,19,1,0,5
651,19,2,1,4
652,19,3,1,3
653,19,4,1,3
654,19,5,2,9
655,19,6,2,9
656,19,7,2,5
657,19,8,0,2
658,19,9,0,2
659,19,10,0,2
660,19,11,0,3
661,19,12,0,1
662,19,20,0,2
663,19,21,0,2
664,19,22,0,2
665,19,23,2,8
666,19,24,2,5
667,19,25,2,8
668,19,26,2,5
669,19,27,2,8
670,19,28,1,4
671,19,29,2,9
672,19,30,2,3
673,19,40,1,4
674,19,41,2,9
675,19,42,1,4
676,19,43,1,4
677,19,44,1,4
678,19,45,1,5
679,19,46,2,9
680,19,47,2,11
681,19,48,1,4
682,19,49,1,4
683,19,50,2,1
684,19,60,0,2
685,19,61,0,2
686,19,62,0,3
687,19,63,2,13
688,19,64,2,11
689,19,65,2,9
690,19,66,2,8
691,19,67,2,12
692,19,68,2,2
693,19,80,1,4
694,19,81,1,4
695,19,82,1,4
696,19,83,1,4
697,19,84,1,4
698,19,85,1,4
699,19,86,1,4
700,19,87,1,4
701,19,88,1,4
702,19,89,1,4
703,19,90,1,4
704,19,91,1,4
705,19,92,1,1
706,21,0,0,3
707,21,1,0,3
708,21,2,1,4
709,21,3,1,8
710,21,4,1,6
711,21,5,2,7
712,21,6,2,6
713,21,7,2,5
714,21,8,0,5
715,21,9,0,4
716,21,10,0,1
717,21,20,0,5
718,21,21,0,5
719,21,22,0,4
720,21,23,2,5
721,21,24,2,4
722,21,25,2,6
723,21,26,2,11
724,21,27,2,12
725,21,28,1,6
726,21,29,2,1
727,21,40,1,6
728,21,41,2,10
729,21,42,1,4
730,21,43,1,4
731,21,44,1,5
732,21,45,1,5
733,21,46,2,14
734,21,47,2,12
735,21,48,1,1
736,21,60,0,2
737,21,61,0,4
738,21,62,0,6
739,21,63,2,7
740,21,64,2,10
741,21,65,2,13
742,21,66,2,14
743,21,67,2,11
744,21,68,2,1
745,21,80,1,1
746,21,81,1,4
747,21,82,1,4
748,21,83,1,4
749,21,84,1,4
750,21,85,1,3
751,21,86,1,4
752,21,87,1,3
753,21,88,1,4
754,21,89,1,3
755,21,90,1,4
756,21,91,1,4
757,21,92,1,2
758,21,93,1,1
759,22,0,0,2
760,22,1,0,2
761,22,2,1,2
762,22,3,1,2
763,22,4,1,2
764,22,5,2,4
765,22,6,2,3
766,22,7,2,3
767,22,8,0,2
768,22,9,0,2
769,22,10,0,3
770,22,11,0,2
771,22,12,0,2
772,22,13,2,2
773,22,14,2,3
774,22,15,1,1
775,22,20,0,2
776,22,21,0,2
777,22,22,0,2
778,22,23,2,3
779,22,24,2,3
780,22,25,2,4
781,22,26,2,4
782,22,27,2,4
783,22,28,1,2
784,22,29,2,4
785,22,30,2,4
786,22,31,0,2
787,22,32,0,2
788,22,33,0,2
789,22,34,0,1
790,22,40,1,2
791,22,41,2,4
792,22,42,1,2
793,22,43,1,3
794,22,44,1,2
795,22,45,1,3
796,22,46,2,4
797,22,47,2,5
798,22,48,1,2
799,22,49,1,2
800,22,50,2,4
801,22,51,2,4
802,22,52,2,4
803,22,53,2,2
804,22,60,0,2
805,22,61,0,2
806,22,62,0,2
807,22,63,2,4
808,22,64,2,3
809,22,65,2,4
810,22,66,2,5
811,22,67,2,4
812,22,68,2,4
813,22,69,0,2
814,22,70,0,2
815,22,71,2,4
816,22,72,2,3
817,22,73,2,2
818,22,80,1,3
819,22,81,1,2
820,22,82,1,2
821,22,83,1,2
822,22,84,1,2
823,22,85,1,2
824,22,86,1,3
825,22,87,1,2
826,22,88,1,2
827,22,89,1,2
828,22,90,1,2
829,22,91,1,2
830,22,92,1,2
831,22,93,1,2
832,22,94,1,2
833,22,95,2,2
834,23,0,0,4
835,23,1,0,5
836,23,2,1,7
837,23,3,1,7
838,23,4,1,6
839,23,5,2,16
840,23,6,2,17
841,23,7,2,8
842,23,20,0,3
843,23,21,0,3
844,23,22,0,3
845,23,23,2,15
846,23,24,2,13
847,23,25,2,14
848,23,26,2,14
849,23,27,2,4
850,23,40,1,4
851,23,41,2,7
852,23,42,1,4
853,23,43,1,4
854,23,44,1,4
855,23,45,1,4
856,23,46,2,9
857,23,47,2,9
858,23,48,1,4
859,23,49,1,4
860,23,50,2,3
861,23,60,0,3
862,23,61,0,3
863,23,62,0,4
864,23,63,2,9
865,23,64,2,9
866,23,65,2,9
867,23,66,2,9
868,23,67,2,10
869,23,68,2,7
870,23,80,1,4
871,23,81,1,4
872,23,82,1,4
873,23,83,1,4
874,23,84,1,4
875,23,85,1,4
876,23,86,1,4
877,23,87,1,4
878,23,88,1,4
879,23,89,1,4
880,23,90,1,4
881,23,91,1,3
882,23,92,1,1
883,25,0,0,3
884,25,1,0,2
885,25,2,1,4
886,25,3,1,4
887,25,4,1,3
888,25,5,2,9
889,25,6,2,9
890,25,7,2,10
891,25,8,0,2
892,25,9,0,3
893,25,10,0,2
894,25,11,0,2
895,25,20,0,2
896,25,21,0,2
897,25,22,0,2
898,25,23,2,8
899,25,24,2,8
900,25,25,2,8
901,25,26,2,8
902,25,27,2,9
903,25,28,1,4
904,25,29,2,9
905,25,30,2,1
906,25,40,1,3
907,25,41,2,8
908,25,42,1,3
909,25,43,1,3
910,25,44,1,3
911,25,45,1,3
912,25,46,2,9
913,25,47,2,8
914,25,48,1,3
915,25,49,1,3
916,25,50,2,8
917,25,51,2,1
918,25,60,0,2
919,25,61,0,2
920,25,62,0,2
921,25,63,2,8
922,25,64,2,9
923,25,65,2,7
924,25,66,2,9
925,25,67,2,7
926,25,68,2,9
927,25,69,0,2
928,25,70,0,1
929,25,80,1,3
930,25,81,1,3
931,25,82,1,3
932,25,83,1,3
933,25,84,1,3
934,25,85,1,3
935,25,86,1,3
936,25,87,1,4
937,25,88,1,4
938,25,89,1,4
939,25,90,1,3
940,25,91,1,4
941,25,92,1,4
942,25,93,1,1
943,28,0,0,2
944,28,1,0,3
945,28,2,1,4
946,28,3,1,4
947,28,4,1,3
948,28,5,2,8
949,28,6,2,8
950,28,7,2,9
951,28,8,0,3
952,28,9,0,2
953,28,10,0,2
954,28,11,0,2
955,28,12,0,1
956,28,20,0,3
957,28,21,0,2
958,28,22,0,2
959,28,23,2,7
960,28,24,2,6
961,28,25,2,6
962,28,26,2,8
963,28,27,2,7
964,28,28,1,3
965,28,29,2,3
966,28,30,2,7
967,28,40,1,2
968,28,41,2,6
969,28,42,1,2
970,28,43,1,3
971,28,44,1,3
972,28,45,1,2
973,28,46,2,7
974,28,47,2,6
975,28,48,1,3
976,28,49,1,3
977,28,50,2,6
978,28,51,2,6
979,28,60,0,2
980,28,61,0,2
981,28,62,0,3
982,28,63,2,6
983,28,64,2,6
984,28,65,2,7
985,28,66,2,7
986,28,67,2,8
987,28,68,2,6
988,28,69,0,2
989,28,70,0,2
990,28,71,2,1
991,28,80,1,3
992,28,81,1,3
993,28,82,1,4
994,28,83,1,3
995,28,84,1,3
996,28,85,1,3
997,28,86,1,3
998,28,87,1,3
999,28,88,1,4
1000,28,89,1,3
1001,28,90,1,3
1002,28,91,1,4
1003,28,92,1,4
1004,28,93,1,1
1005,29,0,0,3
1006,29,1,0,5
1007,29,2,1,2
1008,29,3,1,2
1009,29,4,1,3
1010,29,5,2,2
1011,29,6,2,2
1012,29,7,2,4
1013,29,8,0,2
1014,29,9,0,3
1015,29,10,0,2
1016,29,11,0,2
1017,29,12,0,2
1018,29,13,2,2
1019,29,14,2,3
1020,29,15,1,1
1021,29,20,0,2
1022,29,21,0,2
1023,29,22,0,2
1024,29,23,2,3
1025,29,24,2,3
1026,29,25,2,3
1027,29,26,2,3
1028,29,27,2,3
1029,29,28,1,2
1030,29,29,2,3
1031,29,30,2,3
1032,29,31,0,2
1033,29,32,0,2
1034,29,33,0,2
1035,29,34,0,2
1036,29,35,2,1
1037,29,40,1,2
1038,29,41,2,3
1039,29,42,1,2
1040,29,43,1,2
1041,29,44,1,2
1042,29,45,1,2
1043,29,46,2,3
1044,29,47,2,3
1045,29,48,1,2
1046,29,49,1,2
1047,29,50,2,3
1048,29,51,2,3
1049,29,52,2,5
1050,29,53,2,3
1051,29,54,1,2
1052,29,55,1,1
1053,29,60,0,2
1054,29,61,0,2
1055,29,62,0,2
1056,29,63,2,2
1057,29,64,2,2
1058,29,65,2,2
1059,29,66,2,2
1060,29,67,2,4
1061,29,68,2,2
1062,29,69,0,2
1063,29,70,0,2
1064,29,71,2,1
1065,29,72,2,2
1066,29,73,2,2
1067,29,74,2,2
1068,29,75,2,3
1069,29,76,2,1
1070,29,80,1,2
1071,29,81,1,2
1072,29,82,1,2
1073,29,83,1,2
1074,29,84,1,2
1075,29,85,1,2
1076,29,86,1,2
1077,29,87,1,2
1078,29,88,1,2
1079,29,89,1,2
1080,29,90,1,2
1081,29,91,1,2
1082,29,92,1,2
1083,29,93,1,2
1084,29,94,1,2
1085,29,95,2,2
1086,29,96,2,1
1087,30,0,0,3
1088,30,1,0,4
1089,30,2,1,5
1090,30,3,1,4
1091,30,4,1,2
1092,30,5,2,9
1093,30,6,2,7
1094,30,7,2,6
1095,30,8,0,2
1096,30,9,0,2
1097,30,10,0,2
1098,30,11,0,2
1099,30,12,0,1
1100,30,20,0,2
1101,30,21,0,2
1102,30,22,0,3
1103,30,23,2,9
1104,30,24,2,9
1105,30,25,2,9
1106,30,26,2,6
1107,30,27,2,6
1108,30,28,1,3
1109,30,29,2,7
1110,30,30,2,1
1111,30,40,1,3
1112,30,41,2,9
1113,30,42,1,5
1114,30,43,1,3
1115,30,44,1,3
1116,30,45,1,3
1117,30,46,2,8
1118,30,47,2,8
1119,30,48,1,3
1120,30,49,1,3
1121,30,50,2,9
1122,30,60,0,2
1123,30,61,0,2
1124,30,62,0,3
1125,30,63,2,9
1126,30,64,2,8
1127,30,65,2,8
1128,30,66,2,9
1129,30,67,2,7
1130,30,68,2,9
1131,30,69,0,2
1132,30,70,0,1
1133,30,80,1,3
1134,30,81,1,3
1135,30,82,1,3
1136,30,83,1,3
1137,30,84,1,3
1138,30,85,1,3
1139,30,86,1,3
1140,30,87,1,3
1141,30,88,1,3
1142,30,89,1,3
1143,30,90,1,3
1144,30,91,1,3
1145,30,92,1,2
1146,30,93,1,3
1147,30,94,1,1
1148,31,0,0,3
1149,31,1,0,3
1150,31,2,1,3
1151,31,3,1,3
1152,31,4,1,2
1153,31,5,2,8
1154,31,6,2,10
1155,31,7,2,5
1156,31,8,0,3
1157,31,9,0,2
1158,31,10,0,3
1159,31,11,0,2
1160,31,12,0,1
1161,31,20,0,2
1162,31,21,0,3
1163,31,22,0,2
1164,31,23,2,12
1165,31,24,2,10
1166,31,25,2,8
1167,31,26,2,8
1168,31,27,2,10
1169,31,28,1,4
1170,31,29,2,1
1171,31,40,1,3
1172,31,41,2,8
1173,31,42,1,2
1174,31,43,1,3
1175,31,44,1,4
1176,31,45,1,4
1177,31,46,2,5
1178,31,47,2,10
1179,31,48,1,3
1180,31,49,1,4
1181,31,50,2,4
1182,31,60,0,3
1183,31,61,0,3
1184,31,62,0,2
1185,31,63,2,9
1186,31,64,2,4
1187,31,65,2,6
1188,31,66,2,7
1189,31,67,2,4
1190,31,68,2,10
1191,31,69,0,3
1192,31,70,0,2
1193,31,80,1,4
1194,31,81,1,3
1195,31,82,1,3
1196,31,83,1,4
1197,31,84,1,2
1198,31,85,1,2
1199,31,86,1,3
1200,31,87,1,3
1201,31,88,1,3
1202,31,89,1,3
1203,31,90,1,3
1204,31,91,1,3
1205,31,92,1,3
1206,31,93,1,2
1207,32,0,0,3
1208,32,1,0,2
1209,32,2,1,2
1210,32,3,1,2
1211,32,4,1,2
1212,32,5,2,1
1213,32,6,2,6
1214,32,7,2,5
1215,32,8,0,2
1216,32,9,0,2
1217,32,10,0,2
1218,32,11,0,2
1219,32,12,0,2
1220,32,13,2,6
1221,32,14,2,1
1222,32,20,0,2
1223,32,21,0,2
1224,32,22,0,2
1225,32,23,2,6
1226,32,24,2,7
1227,32,25,2,6
1228,32,26,2,6
1229,32,27,2,4
1230,32,28,1,3
1231,32,29,2,6
1232,32,30,2,5
1233,32,31,0,2
1234,32,32,0,1
1235,32,40,1,3
1236,32,41,2,7
1237,32,42,1,3
1238,32,43,1,2
1239,32,44,1,3
1240,32,45,1,3
1241,32,46,2,6
1242,32,47,2,6
1243,32,48,1,3
1244,32,49,1,3
1245,32,50,2,5
1246,32,51,2,6
1247,32,52,2,1
1248,32,60,0,2
1249,32,61,0,2
1250,32,62,0,2
1251,32,63,2,6
1252,32,64,2,5
1253,32,65,2,5
1254,32,66,2,6
1255,32,67,2,5
1256,32,68,2,5
1257,32,69,0,2
1258,32,70,0,2
1259,32,71,2,6
1260,32,72,2,1
1261,32,80,1,2
1262,32,81,1,2
1263,32,82,1,2
1264,32,83,1,3
1265,32,84,1,3
1266,32,85,1,3
1267,32,86,1,3
1268,32,87,1,3
1269,32,88,1,3
1270,32,89,1,3
1271,32,90,1,3
1272,32,91,1,2
1273,32,92,1,3
1274,32,93,1,2
1275,32,94,1,1
1276,33,0,0,2
1277,33,1,0,2
1278,33,2,1,4
1279,33,3,1,4
1280,33,4,1,3
1281,33,5,2,9
1282,33,6,2,7
1283,33,7,2,7
1284,33,8,0,2
1285,33,9,0,2
1286,33,10,0,2
1287,33,11,0,2
1288,33,12,0,2
1289,33,20,0,2
1290,33,21,0,2
1291,33,22,0,3
1292,33,23,2,6
1293,33,24,2,7
1294,33,25,2,7
1295,33,26,2,5
1296,33,27,2,6
1297,33,28,1,3
1298,33,29,2,7
1299,33,30,2,6
1300,33,31,0,1
1301,33,40,1,3
1302,33,41,2,7
1303,33,42,1,3
1304,33,43,1,3
1305,33,44,1,3
1306,33,45,1,3
1307,33,46,2,6
1308,33,47,2,7
1309,33,48,1,3
1310,33,49,1,3
1311,33,50,2,6
1312,33,51,2,4
1313,33,60,0,2
1314,33,61,0,2
1315,33,62,0,2
1316,33,63,2,5
1317,33,64,2,5
1318,33,65,2,6
1319,33,66,2,6
1320,33,67,2,7
1321,33,68,2,6
1322,33,69,0,2
1323,33,70,0,2
1324,33,71,2,6
1325,33,72,2,1
1326,33,80,1,3
1327,33,81,1,3
1328,33,82,1,2
1329,33,83,1,3
1330,33,84,1,3
1331,33,85,1,3
1332,33,86,1,3
1333,33,87,1,3
1334,33,88,1,3
1335,33,89,1,3
1336,33,90,1,3
1337,33,91,1,3
1338,33,92,1,3
1339,33,93,1,3
1340,33,94,1,1
1341,34,0,0,4
1342,34,1,0,5
1343,34,2,1,6
1344,34,3,1,4
1345,34,4,1,4
1346,34,5,2,7
1347,34,6,2,7
1348,34,7,2,7
1349,34,8,0,2
1350,34,9,0,4
1351,34,10,0,2
1352,34,11,0,1
1353,34,20,0,3
1354,34,21,0,2
1355,34,22,0,2
1356,34,23,2,5
1357,34,24,2,5
1358,34,25,2,5
1359,34,26,2,5
