,sub_num,galaxy,condition,age,n_prac,block,planet,true_planet,prt,initial_reward,leave_thresh,total_reward,avg_rt,catch_perf,catch_rt,mean,mode,mean_post,mode_post,gal_0_trans_0,gal_0_trans_1,gal_0_trans_2,gal_1_trans_0,gal_1_trans_1,gal_1_trans_2,gal_2_trans_0,gal_2_trans_1,gal_2_trans_2,opt_prt,opt_prt_om,prt_rel_mvt,prt_rel_om
61,32,1,1.0,49.0,1.0,3.8846153846153846,45.15384615384615,63.57692307692308,2.576923076923077,99.1923076923077,51.0,14506.0,403.1410256410257,2.0,2503.5,2.700000000000001,2.0,2.6000000000000005,2.0,0.6374057315233783,0.17428355957767716,0.18831070889894422,0.0,0.6793480469889811,0.3206519530110188,0.2025083612040135,0.15245261984392414,0.6450390189520622,2.923076923076923,2.230769230769231,-0.34615384615384615,0.34615384615384615
62,32,2,1.0,49.0,1.0,2.6538461538461537,30.5,40.46153846153846,4.961538461538462,98.96153846153847,40.98076923076923,14506.0,350.7309523809524,2.0,2503.5,2.700000000000001,2.0,2.6000000000000005,2.0,0.6585649644473173,0.17388493859082094,0.16755009696186168,0.0,0.5837606837606836,0.4162393162393163,0.21210944707317034,0.09056533098077049,0.6973252219460592,5.423076923076923,6.384615384615385,-0.46153846153846156,-1.4230769230769231
63,33,0,1.0,27.0,1.0,2.1875,20.25,29.1875,2.0,100.0,56.09375,14370.0,288.85416666666663,2.0,5421.5,2.777777777777778,2.0,2.5,2.0,0.7776769526769526,0.18049931549931547,0.04182373182373182,0.0,0.6114718614718614,0.3885281385281384,0.27482993197278915,0.0704081632653061,0.6547619047619045,2.0,2.0,0.0,0.0
64,33,1,1.0,27.0,1.0,3.8846153846153846,41.96153846153846,63.57692307692308,2.9615384615384617,98.76923076923077,38.61538461538461,14370.0,230.71474358974353,2.0,5421.5,2.7777777777777777,2.0,2.5,2.0,0.6809003496503496,0.18260489510489508,0.13649475524475524,0.0,0.6793480469889811,0.3206519530110188,0.17255046465821505,0.17489160178196092,0.652557933559824,2.9615384615384617,2.3076923076923075,0.0,0.6538461538461539
65,33,2,1.0,27.0,1.0,2.782608695652174,28.91304347826087,42.30434782608695,6.043478260869565,99.91304347826087,34.15217391304348,14370.0,233.74112554112554,2.0,5421.5,2.777777777777778,2.0,2.5,2.0,0.7129164313946919,0.1833145115753811,0.10376905702992659,0.0,0.5782169521299955,0.42178304787000437,0.1629537619634017,0.11124562161889771,0.7258006164177003,5.260869565217392,6.086956521739131,0.782608695652174,-0.043478260869565216
66,34,0,1.0,32.0,1.0,2.25,21.6875,30.4375,2.4375,99.9375,42.125,14042.0,414.6950000021429,2.0,2205.4000000000005,3.450000000000001,2.0,3.6666666666666656,1.0,0.7702695452695452,0.18049931549931547,0.049231139231139226,0.02976190476190476,0.5833333333333333,0.3869047619047619,0.23908171964437952,0.0895506028498356,0.6713676775057849,2.0,2.0,0.4375,0.4375
67,34,1,1.0,32.0,1.0,3.8518518518518516,44.03703703703704,63.22222222222222,2.3703703703703702,101.03703703703704,63.166666666666664,14042.0,443.97638888847223,2.0,2205.400000000001,3.450000000000002,2.0,3.666666666666668,1.0,0.6817947998503555,0.1829872802095024,0.13521791994014218,0.03209778351298848,0.6521865811953512,0.3157156352916601,0.13368255518990815,0.1889050287947348,0.6774124160153568,2.814814814814815,2.3333333333333335,-0.4444444444444444,0.037037037037037035
68,34,2,1.0,32.0,1.0,2.925925925925926,32.55555555555556,46.148148148148145,4.185185185185185,99.37037037037037,59.7962962962963,14042.0,375.05472381109143,2.0,2205.400000000001,3.450000000000002,2.0,3.666666666666668,1.0,0.7063358452247338,0.18176473732029289,0.11189941745497299,0.029149519890260628,0.5654445691482728,0.40540591096146633,0.13628760170998488,0.13270674365602506,0.7310056546339898,5.518518518518518,6.777777777777778,-1.3333333333333333,-2.5925925925925926
69,37,0,1.0,32.0,1.0,2.5,11.75,30.875,5.5,100.5,4.8125,10997.0,619.8113888888889,2.0,2972.4500000000003,2.6666666666666665,1.0,2.714285714285715,1.0,0.6996598639455783,0.22755102040816325,0.07278911564625849,0.05000000000000001,0.6333333333333334,0.3166666666666667,0.5625,0.1875,0.25,2.0,2.0,3.5,3.5
70,37,1,1.0,32.0,1.0,3.761904761904762,25.61904761904762,59.76190476190476,6.142857142857143,100.33333333333333,16.0,10997.0,364.3733868766204,2.0,2972.449999999999,2.6666666666666656,1.0,2.714285714285715,1.0,0.5988095238095238,0.2035714285714286,0.19761904761904764,0.038438570158771404,0.7182100050792001,0.24335142476202853,0.10568783068783066,0.30145502645502636,0.5928571428571429,2.857142857142857,2.9523809523809526,3.2857142857142856,3.1904761904761907
71,37,2,1.0,32.0,1.0,3.0,19.357142857142858,45.0,11.642857142857142,99.07142857142857,14.357142857142858,10997.0,334.0680447015383,2.0,2972.45,2.6666666666666665,1.0,2.714285714285715,1.0,0.6035714285714285,0.18928571428571425,0.20714285714285713,0.04285714285714286,0.6202380952380951,0.3369047619047619,0.24462567347182732,0.1985290350674966,0.5568452914606761,5.928571428571429,7.857142857142857,5.714285714285714,3.7857142857142856
72,39,0,1.0,25.0,1.0,2.2,13.8,26.4,2.9,101.5,16.1,12499.0,431.94166664416673,2.0,2395.5999999999995,3.0,2.0,2.571428571428572,1.0,0.754673721340388,0.20321869488536154,0.04210758377425044,0.037500000000000006,0.6416666666666666,0.3208333333333333,0.24242424242424238,0.10227272727272727,0.6553030303030303,2.0,2.0,0.9,0.9
73,39,1,1.0,25.0,1.0,3.772727272727273,30.045454545454547,60.22727272727273,4.545454545454546,99.9090909090909,13.772727272727273,12499.0,445.4657575558713,2.0,2395.599999999999,3.0,2.0,2.571428571428571,1.0,0.677272727272727,0.1681818181818182,0.15454545454545457,0.03887573575211789,0.7404154243384673,0.22070883990941495,0.08080808080808081,0.23219032429558747,0.6870015948963317,2.909090909090909,2.590909090909091,1.6363636363636365,1.9545454545454546
74,39,2,1.0,25.0,1.0,2.625,20.5625,37.625,11.875,98.8125,9.8125,12499.0,378.6983180435154,2.0,2395.5999999999995,3.0,2.0,2.5714285714285716,1.0,0.6696428571428571,0.19642857142857142,0.1339285714285714,0.03125,0.6416666666666666,0.3270833333333333,0.1212152662152662,0.11433362933362932,0.7644511044511043,6.0,6.75,5.875,5.125
75,40,0,1.0,51.0,1.0,2.2857142857142856,19.285714285714285,30.285714285714285,2.4285714285714284,100.57142857142857,41.607142857142854,14383.0,173.15833334516665,2.0,2554.5999999999995,2.8125,2.0,2.5555555555555562,2.0,0.7844102478717864,0.16770259654875044,0.04788715557946328,0.0,0.6161616161616159,0.3838383838383838,0.2551587301587301,0.10476190476190476,0.640079365079365,2.0,2.0,0.42857142857142855,0.42857142857142855
76,40,1,1.0,51.0,1.0,3.8846153846153846,38.23076923076923,63.57692307692308,3.0384615384615383,102.23076923076923,37.13461538461539,14383.0,166.69766666243336,2.0,2554.599999999999,2.8125,2.0,2.5555555555555567,2.0,0.7090964590964588,0.17429792429792432,0.11660561660561658,0.0,0.6793480469889811,0.3206519530110188,0.13272946859903376,0.22669082125603876,0.6405797101449278,2.8461538461538463,2.423076923076923,0.19230769230769232,0.6153846153846154
