alpha,diff,galaxy,gamma_base,gamma_coef,sub_num
0,0.175,0,5,-20,88
0,0.04938271604938271,0,5,-20,89
0,0.03571428571428571,0,5,-20,90
0,0.10975609756097561,0,5,-20,91
0,0.2125,0,5,-20,92
0,0.1125,0,5,-20,93
0,0.036585365853658534,0,5,-20,94
0,0.14814814814814814,0,5,-20,95
0,0.1875,0,5,-20,96
0,0.175,0,5,-20,97
0,0.2875,0,5,-20,98
0,0.275,0,5,-20,99
0,0.047619047619047616,0,5,-20,100
0,0.0975609756097561,0,5,-10,1
0,0.2375,0,5,-10,2
0,0.18518518518518517,0,5,-10,3
0,0.24691358024691357,0,5,-10,4
0,0.2125,0,5,-10,5
0,0.024096385542168676,0,5,-10,6
0,0.0975609756097561,0,5,-10,7
0,0.13580246913580246,0,5,-10,8
0,0.225,0,5,-10,9
0,0.18518518518518517,0,5,-10,10
0,0.13253012048192772,0,5,-10,11
0,0.10975609756097561,0,5,-10,12
0,0.16049382716049382,0,5,-10,13
0,0.14814814814814814,0,5,-10,14
0,0.07407407407407407,0,5,-10,15
0,0.08536585365853659,0,5,-10,16
0,0.1625,0,5,-10,17
0,0.225,0,5,-10,18
0,0.1111111111111111,0,5,-10,19
0,0.20987654320987653,0,5,-10,20
0,0.17073170731707318,0,5,-10,21
0,-0.08235294117647059,0,5,-10,22
0,0.175,0,5,-10,23
0,0.05952380952380952,0,5,-10,24
0,0.14814814814814814,0,5,-10,25
0,0.08536585365853659,0,5,-10,26
0,0.2875,0,5,-10,27
0,0.12345679012345678,0,5,-10,28
0,0.225,0,5,-10,29
0,0.03614457831325301,0,5,-10,30
0,0.1625,0,5,-10,31
0,0.08641975308641975,0,5,-10,32
0,0.0,0,5,-10,33
0,0.2,0,5,-10,34
0,0.024691358024691357,0,5,-10,35
0,0.14814814814814814,0,5,-10,36
0,-0.023809523809523808,0,5,-10,37
0,0.20987654320987653,0,5,-10,38
0,0.1111111111111111,0,5,-10,39
0,-0.012048192771084338,0,5,-10,40
0,0.09876543209876543,0,5,-10,41
0,0.12345679012345678,0,5,-10,42
0,0.06097560975609756,0,5,-10,43
0,0.16049382716049382,0,5,-10,44
0,0.08536585365853659,0,5,-10,45
0,0.13580246913580246,0,5,-10,46
0,0.15,0,5,-10,47
0,0.03571428571428571,0,5,-10,48
0,0.012048192771084338,0,5,-10,49
0,0.2125,0,5,-10,50
0,0.03614457831325301,0,5,-10,51
0,0.060240963855421686,0,5,-10,52
0,0.1375,0,5,-10,53
0,0.14814814814814814,0,5,-10,54
0,0.04819277108433735,0,5,-10,55
0,0.08536585365853659,0,5,-10,56
0,0.2,0,5,-10,57
0,0.07407407407407407,0,5,-10,58
0,0.10843373493975904,0,5,-10,59
0,0.07317073170731707,0,5,-10,60
0,0.024096385542168676,0,5,-10,61
0,0.14814814814814814,0,5,-10,62
0,-0.05952380952380952,0,5,-10,63
0,0.06097560975609756,0,5,-10,64
0,0.2625,0,5,-10,65
0,0.1111111111111111,0,5,-10,66
0,0.25,0,5,-10,67
0,0.2625,0,5,-10,68
0,0.024096385542168676,0,5,-10,69
0,0.13580246913580246,0,5,-10,70
0,0.0,0,5,-10,71
0,0.225,0,5,-10,72
0,0.2,0,5,-10,73
0,0.025,0,5,-10,74
0,-0.05952380952380952,0,5,-10,75
0,0.023809523809523808,0,5,-10,76
0,0.024096385542168676,0,5,-10,77
0,0.2875,0,5,-10,78
0,0.1625,0,5,-10,79
0,0.18518518518518517,0,5,-10,80
0,0.06172839506172839,0,5,-10,81
0,0.2,0,5,-10,82
0,0.16049382716049382,0,5,-10,83
0,0.20987654320987653,0,5,-10,84
0,0.09523809523809523,0,5,-10,85
0,0.225,0,5,-10,86
0,0.04819277108433735,0,5,-10,87
0,0.1111111111111111,0,5,-10,88
0,0.225,0,5,-10,89
0,0.09876543209876543,0,5,-10,90
0,0.2875,0,5,-10,91
0,0.2,0,5,-10,92
0,0.1111111111111111,0,5,-10,93
0,-0.07142857142857142,0,5,-10,94
0,-0.05952380952380952,0,5,-10,95
0,0.1375,0,5,-10,96
0,0.20987654320987653,0,5,-10,97
0,0.08536585365853659,0,5,-10,98
0,-0.024096385542168676,0,5,-10,99
0,0.07317073170731707,0,5,-10,100
0,0.125,0,5,-1,1
0,-0.03571428571428571,0,5,-1,2
0,0.06097560975609756,0,5,-1,3
0,0.12345679012345678,0,5,-1,4
0,0.325,0,5,-1,5
0,0.08536585365853659,0,5,-1,6
0,-0.03571428571428571,0,5,-1,7
0,0.14814814814814814,0,5,-1,8
0,0.060240963855421686,0,5,-1,9
0,0.06097560975609756,0,5,-1,10
0,0.07317073170731707,0,5,-1,11
0,0.125,0,5,-1,12
0,0.0975609756097561,0,5,-1,13
0,0.08641975308641975,0,5,-1,14
0,0.024096385542168676,0,5,-1,15
0,0.05952380952380952,0,5,-1,16
0,0.14634146341463414,0,5,-1,17
0,0.12345679012345678,0,5,-1,18
0,0.1875,0,5,-1,19
0,0.13580246913580246,0,5,-1,20
0,0.08433734939759036,0,5,-1,21
0,0.18292682926829268,0,5,-1,22
0,0.1566265060240964,0,5,-1,23
0,0.024096385542168676,0,5,-1,24
0,0.12195121951219512,0,5,-1,25
0,0.25925925925925924,0,5,-1,26
0,0.1875,0,5,-1,27
0,0.2222222222222222,0,5,-1,28
0,0.14814814814814814,0,5,-1,29
0,0.0,0,5,-1,30
0,0.08433734939759036,0,5,-1,31
0,0.25,0,5,-1,32
0,0.08536585365853659,0,5,-1,33
0,0.12195121951219512,0,5,-1,34
0,0.16049382716049382,0,5,-1,35
0,0.2,0,5,-1,36
0,0.1728395061728395,0,5,-1,37
0,0.15,0,5,-1,38
0,0.12195121951219512,0,5,-1,39
0,0.12345679012345678,0,5,-1,40
0,0.07407407407407407,0,5,-1,41
0,0.2125,0,5,-1,42
0,0.2,0,5,-1,43
0,0.2,0,5,-1,44
0,0.08536585365853659,0,5,-1,45
0,-0.17857142857142858,0,5,-1,46
0,0.0975609756097561,0,5,-1,47
0,0.15,0,5,-1,48
0,0.2345679012345679,0,5,-1,49
0,0.14814814814814814,0,5,-1,50
0,0.25,0,5,-1,51
0,0.1111111111111111,0,5,-1,52
0,0.047619047619047616,0,5,-1,53
0,0.15,0,5,-1,54
0,0.16049382716049382,0,5,-1,55
0,0.175,0,5,-1,56
0,0.0975609756097561,0,5,-1,57
0,0.125,0,5,-1,58
0,0.14814814814814814,0,5,-1,59
0,0.06097560975609756,0,5,-1,60
0,0.2125,0,5,-1,61
0,0.060240963855421686,0,5,-1,62
0,0.18292682926829268,0,5,-1,63
0,0.12345679012345678,0,5,-1,64
0,0.14814814814814814,0,5,-1,65
0,0.07317073170731707,0,5,-1,66
0,-0.15294117647058825,0,5,-1,67
0,0.2625,0,5,-1,68
0,0.09876543209876543,0,5,-1,69
0,0.060240963855421686,0,5,-1,70
0,0.2125,0,5,-1,71
0,0.18518518518518517,0,5,-1,72
0,0.2222222222222222,0,5,-1,73
0,0.07317073170731707,0,5,-1,74
0,0.2,0,5,-1,75
0,-0.04819277108433735,0,5,-1,76
0,0.25,0,5,-1,77
0,0.0963855421686747,0,5,-1,78
0,0.2,0,5,-1,79
0,0.1375,0,5,-1,80
0,0.036585365853658534,0,5,-1,81
0,0.12345679012345678,0,5,-1,82
0,0.0975609756097561,0,5,-1,83
0,-0.047619047619047616,0,5,-1,84
0,0.12048192771084337,0,5,-1,85
0,0.07317073170731707,0,5,-1,86
0,0.13580246913580246,0,5,-1,87
0,0.17073170731707318,0,5,-1,88
0,0.011904761904761904,0,5,-1,89
